CO_URF;id_urf
0000000;NAO_INFORMADO
0000910;SEFAZ_SC_CONVENIO_CONSULTA_SISTEMA_CARGA
0110100;BRASILIA
0117600;BRASILIA
0120100;GOIANIA
0120102;CATALAO
0120200;ANAPOLIS
0130100;CUIABA
0130101;ALTO_ARAGUAIA
0130151;CACERES
0140100;CAMPO_GRANDE
0140151;BELA_VISTA
0140152;PORTO_MURTINHO
0140251;BELA_VISTA
0140252;PORTO_MURTINHO
0145100;MUNDO_NOVO
0145200;CORUMBA
0145300;PONTA_PORA
0145351;BELA_VISTA
0145352;PORTO_MURTINHO
0147600;CORUMBA
0147700;MUNDO_NOVO
0147800;PONTA_PORA
0147851;BELA_VISTA
0147852;PORTO_MURTINHO
0210100;BELEM
0210106;BREVES
0210151;BARCARENA
0210200;SANTAREM
0210251;OBIDOS
0210252;ALMEIRIM
0210300;MARABA
0210400;ALMEIRIM
0215200;ALMEIRIM
0217600;BELEM
0217601;BELEM
0217602;BARCARENA
0217700;BELEM
0217800;BELEM
0217801;BELEM
0217802;BARCARENA
0220100;MANAUS
0220101;ITACOATIARA
0220152;TABATINGA
0227600;MANAUS
0227603;TABATINGA
0227700;MANAUS
0230100;RIO_BRANCO
0230151;BRASILEIA
0230152;CRUZEIRO_DO_SUL
0230154;ASSIS_BRASIL
0230155;EPITACIOLANDIA
0240100;MACAPA
0240151;OIAPOQUE
0240152;SANTANA
0250100;PORTO_VELHO
0250151;GUAJARA_MIRIM
0250152;VILHENA
0260100;BOA_VISTA
0260151;PACARAIMA
0260152;BONFIM
0310100;FORTALEZA
0317600;FORTALEZA
0317601;FORTALEZA
0317602;SAO_GONCALO_DO_AMARANTE
0317700;FORTALEZA
0317800;SAO_GONCALO_DO_AMARANTE
0317900;FORTALEZA
0317901;FORTALEZA
0317902;SAO_GONCALO_DO_AMARANTE
0317903;SAO_LUIS
0320100;SAO_LUIS
0320151;SAO_LUIS
0325100;SAO_LUIS
0327600;SAO_LUIS
0330100;TERESINA
0410100;RECIFE
0410102;GOIANA
0410251;PETROLINA
0410300;PETROLINA
0415100;RECIFE
0417600;RECIFE
0417700;GUARARAPES
0417800;IPOJUCA
0417900;RECIFE
0417901;GUARARAPES
0417902;IPOJUCA
0420100;NATAL
0420151;AREIA_BRANCA
0420152;PARNAMIRIM
0420153;AREIA_BRANCA
0420154;NATAL
0420200;MOSSORO
0420252;AREIA_BRANCA
0430100;JOAO_PESSOA
0430151;CABEDELO
0440100;MACEIO
0440151;MACEIO
0510100;SALVADOR
0510102;CAMACARI
0510300;VITORIA_DA_CONQUISTA
0510352;PORTO_SEGURO
0510353;ILHEUS
0510500;ITABUNA
0510551;PORTO_SEGURO
0510552;ILHEUS
0510600;ILHEUS
0515100;ILHEUS
0517600;SALVADOR
0517601;SALVADOR
0517602;CANDEIAS
0517700;SALVADOR
0517800;SALVADOR
0517801;SALVADOR
0520100;ARACAJU
0520105;PROPRIA
0610100;BELO_HORIZONTE
0610300;GOVERNADOR_VALADARES
0610301;TEOFILO_OTONI
0610400;JUIZ_DE_FORA
0610500;UBERABA
0610600;VARGINHA
0610900;UBERLANDIA
0611000;CONTAGEM
0615100;BELO_HORIZONTE
0617600;CONFINS
0617700;BELO_HORIZONTE
0617701;CONFINS
0710100;RIO_DE_JANEIRO
0710200;NITEROI
0710203;CABO_FRIO
0710251;CAMPOS_DOS_GOYTACAZES
0710252;MACAE
0710300;NOVA_IGUACU
0710301;DUQUE_DE_CAXIAS
0710304;ITAGUAI
0710400;CAMPOS_DOS_GOYTACAZES
0710451;MACAE
0710500;VOLTA_REDONDA
0710504;ANGRA_DOS_REIS
0710600;RIO_DE_JANEIRO
0711000;MACAE
0715300;ANGRA_DOS_REIS
0715400;RIO_DE_JANEIRO
0715500;MACAE
0717600;RIO_DE_JANEIRO
0717700;RIO_DE_JANEIRO
0717800;ITAGUAI
0720100;VITORIA
0727600;VITORIA
0810100;SAO_PAULO
0810300;BAURU
0810303;JAU
0810400;CAMPINAS
0810500;PRESIDENTE_PRUDENTE
0810600;SANTOS
0810603;CUBATAO
0810700;SAO_JOSE_DO_RIO_PRETO
0810800;TAUBATE
0810803;GUARATINGUETA
0810900;RIBEIRAO_PRETO
0810904;BEBEDOURO
0811000;SOROCABA
0811100;GUARULHOS
0811200;LIMEIRA
0811201;AMERICANA
0811300;OSASCO
0811400;SANTO_ANDRE
0811401;DIADEMA
0811404;SAO_BERNARDO_DO_CAMPO
0812000;SAO_JOSE_DOS_CAMPOS
0812051;SAO_SEBASTIAO
0812200;ARARAQUARA
0812300;FRANCA
0812400;JUNDIAI
0812500;PIRACICABA
0812700;SAO_SEBASTIAO
0815300;SAO_SEBASTIAO
0815400;NAO_INFORMADO
0815500;SAO_PAULO
0817600;SAO_PAULO
0817700;CAMPINAS
0817800;SANTOS
0817900;SAO_PAULO
0910100;CURITIBA
0910151;SAO_JOSE_DOS_PINHAIS
0910152;ANTONINA
0910200;LONDRINA
0910300;CASCAVEL
0910351;SANTO_ANTONIO_DO_SUDOESTE
0910400;PONTA_GROSSA
0910500;MARINGA
0910506;UMUARAMA
0910600;FOZ_DO_IGUACU
0910601;MEDIANEIRA
0910602;MARECHAL_CANDIDO_RONDON
0910651;GUAIRA
0910652;SANTA_HELENA
0910700;PARANAGUA
0910751;ANTONINA
0915100;ANTONINA
0915200;CURITIBA
0917500;FOZ_DO_IGUACU
0917501;GUAIRA
0917502;SANTA_HELENA
0917600;PARANAGUA
0917601;ANTONINA
0917700;SAO_JOSE_DOS_PINHAIS
0917800;PARANAGUA
0917801;ANTONINA
0917900;CURITIBA
0917901;SAO_JOSE_DOS_PINHAIS
0920100;FLORIANOPOLIS
0920102;CRICIUMA
0920151;IMBITUBA
0920153;FLORIANOPOLIS
0920200;JOINVILLE
0920203;JARAGUA_DO_SUL
0920205;RIO_DO_SUL
0920251;SAO_FRANCISCO_DO_SUL
0920351;DIONISIO_CERQUEIRA
0920600;ITAJAI
0925100;ITAJAI
0925200;FLORIANOPOLIS
0925251;IMBITUBA
0927500;FLORIANOPOLIS
0927501;FLORIANOPOLIS
0927502;IMBITUBA
0927600;FLORIANOPOLIS
0927601;IMBITUBA
0927700;SAO_FRANCISCO_DO_SUL
0927800;ITAJAI
0927900;DIONISIO_CERQUEIRA
1010103;GUAIBA
1010104;SANTA_CRUZ_DO_SUL
1010109;NAO_INFORMADO
1010151;TRAMANDAI
1010200;PELOTAS
1010252;JAGUARAO
1010253;BAGE
1010300;SANTA_MARIA
1010351;SANTANA_DO_LIVRAMENTO
1010500;RIO_GRANDE
1010600;CAXIAS_DO_SUL
1010700;NOVO_HAMBURGO
1010703;MONTENEGRO
1010851;PORTO_MAUA
1010852;PORTO_XAVIER
1010900;URUGUAIANA
1010951;ITAQUI
1010953;SAO_BORJA
1010954;BARRA_DO_QUARAI
1010955;QUARAI
1011000;SANTANA_DO_LIVRAMENTO
1011001;DOM_PEDRITO
1011051;BAGE
1011052;QUARAI
1011100;SANTA_CRUZ_DO_SUL
1011200;CHUI
1015300;CHUI
1015400;PORTO_ALEGRE
1015500;CHUI
1015600;SANTANA_DO_LIVRAMENTO
1017500;URUGUAIANA
1017501;ITAQUI
1017502;QUARAI
1017503;SAO_BORJA
1017504;PORTO_MAUA
1017505;PORTO_XAVIER
1017551;BARRA_DO_QUARAI
1017600;PORTO_ALEGRE
1017700;RIO_GRANDE
1017701;CHUI
1017800;PORTO_ALEGRE
1017801;PORTO_ALEGRE
1017900;SANTANA_DO_LIVRAMENTO
8110000;NAO_INFORMADO
9999999;NAO_INFORMADO
